OBJECTID,COUNTY_NAME,COUNTY_ABBREV,COUNTY_NUM,COUNTY_CODE,COUNTY_FIPS,ISLAND,Shape__Area,Shape__Length,GlobalID
1,Alameda,ALA,1,1,1,,3402787058.96094,308998.650765795,e6f92268-d2dd-4cfb-8b79-5b4b2f07c559
2,Alpine,ALP,2,2,3,,3146939367.20313,274888.492410713,870479b2-480a-494b-8352-ad60578839c1
3,Amador,AMA,3,3,5,,2562634785.33984,361708.438012853,4f45b3a6-be10-461c-8945-6b2aaa7119f6
4,Butte,BUT,4,4,7,,7339347535.86719,526547.115237926,44fba680-aecc-4e04-a499-29d69affbd4a
5,Calaveras,CAL,5,5,9,,4351069342.04688,370637.578323459,d11ef739-4a1e-414e-bfd1-e7dcd56cd61e
6,Colusa,COL,6,6,11,,4992906480.77734,386191.549732363,7bb40e7d-335a-4e8f-aaba-f003090d32ef
7,Contra Costa,CC,7,7,13,,3348831376.66016,321717.245163669,36d6618e-1d85-423d-81c5-d5fade320099
8,Del Norte,DEL,8,8,15,,4723608394.77344,391350.002191923,1c9d9309-a72c-464f-9981-fe8358f354ac
9,El Dorado,ELD,9,9,17,,7635354516.60938,472602.584755238,8c7709f7-3e81-4245-85d6-3fbc6ebd7261
10,Fresno,FRE,10,10,19,,24298410988.1953,1110071.01416059,f57a290a-f11e-4b3b-a53b-e8e4c2284bbb
11,Glenn,GLE,11,11,21,,5795190689.74219,396198.70011887,bac1dcfd-a28a-4c21-936f-b8e299026a9f
12,Humboldt,HUM,12,12,23,,16284538688.7773,678269.545710366,7e8e7246-d282-4143-a943-105360ee37e6
13,Imperial,IMP,13,13,25,,16564231846.3398,593476.825963676,6b5a7ea7-cc2c-4e04-95ad-f953cf1b2e24
14,Inyo,INY,14,14,27,,41096174750.3242,1069449.3941919,24bdc0ff-4379-4055-a132-96a222afa5f5
15,Kern,KER,15,15,29,,31846476132.9141,862005.051731836,55f8678b-d6c9-40c4-b9a0-c3e73d2714a5
16,Kings,KIN,16,16,31,,5529919183.07031,354382.253477042,414e145a-60f8-4996-b804-cb42b7878e02
17,Lake,LAK,17,17,33,,5725314905.89453,469746.867056544,3490fe5a-a9e4-4997-b746-25abee1b9e23
18,Lassen,LAS,18,18,35,,21279656633.2539,777067.436802257,0cb818c3-7995-42e7-9e8d-7563b81b9049
19,Los Angeles,LOS,19,19,37,,15054690024.1484,629726.475247609,3b1e1d69-2b1a-464d-ba43-611c4201b219
20,Madera,MAD,20,20,39,,8807559946.31641,603305.219805609,ef66daf7-56c7-4afd-8c10-3c6b8de83c53
21,Marin,MRN,21,21,41,,2546999709.33594,324786.529229444,f2604fed-7c76-4bcb-a5e0-667d6d3405b5
22,Mariposa,MRP,22,22,43,,6039261660.65234,436426.86423393,6a384488-eabd-48a2-af47-455ce7443482
23,Mendocino,MEN,23,23,45,,15273081235.3281,852837.417236465,e219006d-76d0-447d-b222-ac10417bcef0
24,Merced,MER,24,24,47,,8085829167.75,432954.410427636,f3d6231c-c7fa-4340-b03f-23c1d0572979
25,Modoc,MOD,25,25,49,,19475267338.1484,566315.312589399,86f15375-c4e1-4a0e-a363-9099286c17af
26,Mono,MNO,26,26,51,,13058711009.8477,700809.627938011,a75107fc-5938-47e4-9a76-64ec7b4d2e75
27,Monterey,MNT,27,27,53,,13211999209.4102,859588.46242209,541f764a-86f8-4722-bcb2-0be3ad073830
28,Napa,NAP,28,28,55,,3348148991.76953,356598.937866269,630ff402-4afd-4950-93b9-773e16dab8dc
29,Nevada,NEV,29,29,57,,4221812118.55078,433438.825484662,c6f8f1e5-dd2a-401b-a346-279ebd78f2a3
30,Orange,ORA,30,30,59,,2998358176.68359,261212.098457117,e9a24c4d-a4ec-40b5-b689-89de5354a669
31,Placer,PLA,31,31,61,,6452911146.46094,535807.043010782,dac91615-4d80-4240-8fc8-e400600989a5
32,Plumas,PLU,32,32,63,,11550726299.2109,658542.920490193,9231c166-d020-4aae-9e73-98d92a9e59ad
33,Riverside,RIV,33,33,65,,27420659762.4883,911236.05224766,5a8de123-b918-4725-9868-268a4bbcc4e7
34,Sacramento,SAC,34,34,67,,4203504878.51172,406962.53844668,e6cd0ae9-d1b2-490a-964b-9d96e0b129b9
35,San Benito,SBT,35,35,69,,5596300722.14453,457471.885394376,07204e6d-429b-44db-a05c-e57ae4c99a86
36,San Bernardino,SBD,36,36,71,,77496812443.9336,1247676.29074597,e4df6870-0d0b-40c1-ad3b-a60a72792cfd
37,San Diego,SDG,37,37,73,,15735991009.7188,564113.666584594,414826ec-689e-4084-bd03-5195df2748bf
38,San Francisco,SFO,38,38,75,,438635888.980469,111442.382998934,3fb3980b-94db-4765-b3e8-266dd778bfdd
39,San Joaquin,SJQ,39,39,77,,5946806922.64063,416061.272303174,618df2f4-48af-45f8-b25a-8069e3948302
40,San Luis Obispo,SLO,40,40,79,,12974195492.4023,787688.502672779,9ee2e9c5-6cb8-4aa9-8591-276db26f7b52
41,San Mateo,SMT,41,41,81,,2272024166.83984,296746.203111418,b4f387b3-07f1-43a1-b18a-a6d81c17e28b
42,Santa Barbara,SBA,42,42,83,,9803016764.66406,535263.339830657,5275e3ef-b1e1-4aea-a429-ce42646f9d3a
43,Santa Clara,SCL,43,43,85,,5341596055.52344,430617.480223327,2220f7b9-9361-4fb8-9456-872109cf6cf7
44,Santa Cruz,SCZ,44,44,87,,1817372900.14844,307048.568179454,3ab4bc0e-7dac-4010-b33f-06f9419970d1
45,Shasta,SHA,45,45,89,,17408369411.2031,709221.730559355,23a0546a-1c24-4e60-91e6-7f8e49331acd
46,Sierra,SIE,46,46,91,,4197234766.40625,374684.195926209,42c600f9-816f-43c2-8d92-05a7105714bf
47,Siskiyou,SIS,47,47,93,,29416032035.0117,897698.505180479,79363538-fd2d-4ccd-8370-d3d130c54777
48,Solano,SOL,48,48,95,,3828194705.48828,339651.085319693,1eab1c71-3b1d-4dd6-91dd-7adcc5763bde
49,Sonoma,SON,49,49,97,,6800681633.00781,562775.028045077,897e1214-bf0a-456f-bfb4-d90e49c14c13
50,Stanislaus,STA,50,50,99,,6258716828.54297,474264.062970025,be9f177f-a5ff-460c-9b79-3197a6e5e093
51,Sutter,SUT,51,51,101,,2614846608.71484,350551.696984321,f980cce0-9272-4962-922f-e2c7343a994c
52,Tehama,TEH,52,52,103,,13117330466.7969,626814.907492032,6d366794-51dc-48b7-81fd-8fbaa1a69238
53,Trinity,TRI,53,53,105,,14447626019.0742,807269.688450295,2cdcc639-3309-4168-9d1f-f9c64504994d
54,Tulare,TUL,54,54,107,,19311031190.6953,654530.718059594,709be848-8aac-4cd3-bf13-8b982ede6775
55,Tuolumne,TUO,55,55,109,,9522573610.96875,643353.1974587,459450da-afc0-4845-9007-2216bd515717
56,Ventura,VEN,56,56,111,,6999718264.82813,370211.927408076,dfde8e6b-742d-48c4-a4a0-4952e37d938b
57,Yolo,YOL,57,57,113,,4346599728.09375,419556.872361181,33cd46b3-a884-45b7-9638-80f30b53983f
58,Yuba,YUB,58,58,115,,2786356525.08594,363851.509875566,d0b131e8-925b-4476-8243-47c737385893
59,Santa Barbara,SBA,42,42,83,Channel Islands,79721.29296875,1902.96839730902,66611833-e5db-4c4a-a303-b798be0b4868
60,Santa Barbara,SBA,42,42,83,Channel Islands,3749446.23828125,14848.657134753,56da86ed-95af-439f-badd-4ddc85558619
61,Santa Barbara,SBA,42,42,83,Channel Islands,311065614.484375,126896.070277672,f23be533-83ab-4ff1-b01f-26db42fd5f6f
62,Santa Barbara,SBA,42,42,83,Channel Islands,54194905.9570313,65871.3326571719,0d4c5811-29c6-46c6-84f1-0995d567a61b
63,Santa Barbara,SBA,42,42,83,Channel Islands,363701291.285156,175301.701505829,b8540e93-d1e4-4af7-8f81-64260a5216da
64,Ventura,VEN,56,56,111,Channel Islands,82698475.65625,71770.0471487921,099a7446-fc1f-49a0-a081-091b8e057558
65,Ventura,VEN,56,56,111,Channel Islands,875009.3671875,11880.9005936059,86c2171f-d249-45a0-ac0c-40a4e6cb82e2
66,Ventura,VEN,56,56,111,Channel Islands,2595855.37109375,14258.5271101711,71e2d2ad-a83c-4f5d-bc3b-b7ad9b12f57b
67,Ventura,VEN,56,56,111,Channel Islands,608208.1875,7967.02976213196,d90412b1-c6af-4437-94d9-48dc3a13a64d
68,Los Angeles,LOS,19,19,37,Channel Islands,207658042.078125,135274.20120396,3cb33dc3-e564-4bbf-8528-866600a1f9e4
69,Los Angeles,LOS,19,19,37,Channel Islands,277617205.371094,143353.767327242,991044ae-cbc3-43b8-898a-702c5315293c