name,long/lat
Avenal State Prison,"35.97447069452917, -120.12332083259238"
California Correctional Institution,"35.113301072775876, -118.56946534598333"
California Health Care Facility,"37.89752818969941, -121.18645554770787"
California Institution for Men,"33.98206193808917, -117.68263147486562"
California Institution for Women,"33.94943317205643, -117.63466601350409"
California Men’s Colony,"35.325428746904294, -120.69450249015026"
California Medical Facility,"38.32939570048562, -121.97696396118279"
California Rehabilitation Center,"33.930995897033256, -117.57151980370291"
"California State Prison, Corcoran","36.060746735050024, -119.55086803244843"
"California State Prison, Los Angeles County","34.69655821445063, -118.22766019017688"
"California State Prison, Sacramento","38.69149033438161, -121.1572318863088"
"California State Prison, Solano","38.32357117592949, -121.97227183234776"
Calipatria State Prison,"33.16310149866578, -115.4847385037341"
"California State Prison, Centinela","32.82055788717434, -115.78880097491259"
Central California Women’s Facility,"37.08985782193846, -120.1498076458978"
Correctional Training Facility,"36.48602305074849, -121.3837861798577"
Folsom State Prison,"38.69147528349464, -121.15725894767165"
High Desert State Prison,"40.41068770412763, -120.51248151331787"
Ironwood State Prison,"33.56041896252139, -114.92688856138842"
Kern Valley State Prison,"35.76611862192096, -119.32071648828514"
Mule Creek State Prison,"38.370689752550696, -120.95371777467537"
North Kern State Prison,"35.78278169450897, -119.30961357479"
Pelican Bay State Prison,"41.85379581949333, -124.15030444567527"
Pleasant Valley State Prison,"36.129720700010985, -120.24919870361018"
Richard J. Donovan Correctional Facility,"32.584760614184674, -116.93370424608686"
Salinas Valley State Prison,"36.48120407851309, -121.37564290359491"
San Quentin Rehabilitation Center,"37.93873895643588, -122.48896448265072"
Sierra Conservation Center,"37.89352487216354, -120.53800371702668"
"Substance Abuse Treatment Facility and State Prison, Corcoran","36.0525791945333, -119.55367197477828"
Valley State Prison,"37.10118265813783, -120.15317724774354"
Wasco State Prison,"35.593920421191925, -119.40721047479803"